"HHS Region 1","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 1","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 10","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 10","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 2","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 2","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 3","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 3","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 4","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 4","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 5","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 5","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 6","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 6","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 7","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 7","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 8","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 8","Season peak week",-2.11021320034659,1,11,0.121212121212121,"."
"HHS Region 9","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 9","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"US National","Season onset",-3.09131341144725,1,11,0.0454422308462225,"."
"US National","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 1","Season peak percentage",-3.77658500653304,1,11,0.022900764,"."
"HHS Region 10","Season peak percentage",-3.77658500653304,1,11,0.022900764,"."
"HHS Region 2","Season peak percentage",-3.77658500653304,1,11,0.022900764,"."
"HHS Region 3","Season peak percentage",-3.77658500653304,1,11,0.022900764,"."
"HHS Region 4","Season peak percentage",-3.77658500653304,1,11,0.022900764,"."
"HHS Region 5","Season peak percentage",-3.77658500653304,1,11,0.022900764,"."
"HHS Region 6","Season peak percentage",-3.77658500653304,1,11,0.022900764,"."
"HHS Region 7","Season peak percentage",-3.77658500653304,1,11,0.022900764,"."
"HHS Region 8","Season peak percentage",-3.77658500653304,1,11,0.022900764,"."
"HHS Region 9","Season peak percentage",-3.77658500653304,1,11,0.022900764,"."
"US National","Season peak percentage",-3.77658500653304,1,11,0.022900764,"."
"US National","1 wk ahead",-10,1,11,4.53999297624849e-05,"."
"HHS Region 1","1 wk ahead",-10,1,11,4.53999297624849e-05,"."
"HHS Region 2","1 wk ahead",-10,1,11,4.53999297624849e-05,"."
"HHS Region 3","1 wk ahead",-2.23502939905329,1,11,0.106988984432024,"."
"HHS Region 4","1 wk ahead",-10,1,11,4.53999297624849e-05,"."
"HHS Region 5","1 wk ahead",-10,1,11,4.53999297624849e-05,"."
"HHS Region 6","1 wk ahead",-10,1,11,4.53999297624849e-05,"."
"HHS Region 7","1 wk ahead",-6.21324021235193,1,11,0.00200273764410627,"."
